name,company_founded,company_relationship,company_type,demographics_gender,location_region,wealth_type,wealth_how_category,wealth_how_industry,wealth_how_inherited
Edward Gaylord,1975,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Edward Johnson,1946,relation,new,male,North America,inherited,Financial,Money Management,father
"Edward Johnson, III.",1946,relation,new,male,North America,inherited,Financial,Money Management,father
Edward Lampert,1988,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Edward Rogers,1962,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
"Edward Roski, Jr.",1948,relation,new,male,North America,inherited,Financial,Real Estate,father
Edward Stack,1948,relation,new,male,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Edwin Leong,1977,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Edwin Soeryadjaya,1957,relation,new,male,East Asia,inherited,Resource Related,Mining and metals,father
Eggon da Silva,1961,founder,new,male,Latin America,founder non-finance,Traded Sectors,Non-consumer industrial,not inherited
Eitaro Itoyama,0,,,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Eka Tjipta Widjaja,1962,founder,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Elaine Marshall,1940,relation,new,female,North America,inherited,Financial,Diversified financial,spouse/widow
Elaine Wynn,1973,founder,new,female,North America,self-made finance,Financial,Real Estate,not inherited
Elena Baturina,1991,founder,new,female,Europe,privatized and resources,Non-Traded Sectors,Constrution,not inherited
Eli Broad,1957,founder,new/aquired,male,North America,self-made finance,Financial,Diversified financial,not inherited
Elie Horn,1962,founder,new,male,Latin America,self-made finance,Financial,Real Estate,not inherited
Eliodoro Matte,1920,relation,new,male,Latin America,inherited,Traded Sectors,Consumer,father
Elisabeth Badinter,1926,relation,new,female,Europe,inherited,Non-Traded Sectors,Media,father
Elizabeth Mohn,1835,relation,new,female,Europe,inherited,Non-Traded Sectors,Media,spouse/widow
Elon Musk,1999,investor/founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Els Blokker,1896,relation,new,female,Europe,inherited,Non-Traded Sectors,"Retail, Restaurant",spouse/widow
Emanuele (Lino) Saputo,1954,relation,new,male,North America,inherited,Traded Sectors,Consumer,father
Emilio Azcarraga Jean,1955,relation,new,male,Latin America,inherited,Non-Traded Sectors,Media,father
Emilio Botin,1857,relation,new,male,Europe,inherited,Financial,Money Management,father
Emmanuel Besnier,1933,relation,new,male,Europe,inherited,Traded Sectors,Consumer,father
Ennio Doris,1982,founder,new,male,Europe,self-made finance,Financial,Money Management,not inherited
Enric Bernat,1958,founder,aquired,male,Europe,founder non-finance,Traded Sectors,Consumer,not inherited
Enrique Banuelos,1982,founder,new,male,Europe,self-made finance,Financial,Real Estate,not inherited
Enrique Razon,1940,relation,new,male,East Asia,inherited,Financial,Real Estate,father
Eric Andre,1877,relation,new,male,Europe,inherited,Financial,Money Management,3rd generation
Eric Lefkofsky,2008,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Eric Schmidt,1998,executive chairman,new,male,North America,executive,New Sectors,Technology-Computer,not inherited
Erich Kellerhals,1963,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Erika Pohl-Stroher,1880,relation,new,female,Europe,inherited,Traded Sectors,Consumer,3rd generation
Erivan Haub,1867,relation,new,male,Europe,inherited,Non-Traded Sectors,"Retail, Restaurant",3rd generation
Erman Ilicak,1994,founder,new,male,Middle East/North Africa,founder non-finance,Non-Traded Sectors,Constrution,not inherited
Ermirio Pereira de Moraes,1919,relation,new,male,Latin America,inherited,Financial,Diversified financial,father
Ernest Stempel,1919,chairman,new,male,0,executive,New Sectors,Technology-Medical,not inherited
Ernestina Herrera de Noble,1945,relation,new,female,Latin America,inherited,Non-Traded Sectors,Media,spouse/widow
Ernesto Bertarelli,1906,relation,new,male,Europe,inherited,New Sectors,Technology-Medical,3rd generation
Erwin Franz Mueller,1953,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Esther Grether,1899,relation,new,female,Europe,inherited,Traded Sectors,Consumer,spouse/widow
Esther Koplowitz,1952,relation,aquired,female,Europe,inherited,Non-Traded Sectors,Constrution,father
Eugene Melnyk,1989,founder,new,male,North America,founder non-finance,0,Other,not inherited
Eugene Wu,1945,relation,new,male,East Asia,inherited,Financial,Hedge funds,father
Eugenio Garza Lagnera,1890,relation,new,male,Latin America,inherited,0,0,3rd generation
Eugenio Lopez,1961,owner,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Eva Gonda Rivera,1890,relation,new,female,Latin America,inherited,Traded Sectors,Consumer,spouse/widow
Eva Maria Bucher-Haefner,1976,relation,new,female,Europe,inherited,New Sectors,Technology-Computer,father
Evan Williams,2006,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Evelyn Danzig Haas,1853,relation,new,female,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",spouse/widow
Evgeny (Eugene) Shvidler,1990,founder,new,male,North America,privatized and resources,Resource Related,Energy,not inherited
Eyal Ofer,1950,relation,new,male,Middle East/North Africa,inherited,Financial,Real Estate,father
Ezra Nahmad,1960,founder,new,male,Europe,founder non-finance,0,Other,not inherited
Fahd Hariri,1978,relation,aquired,male,Middle East/North Africa,inherited,Non-Traded Sectors,Constrution,father
Fang Wei,2002,chairman,new,male,East Asia,privatized and resources,Traded Sectors,Non-consumer industrial,not inherited
Farhad Moshiri,1999,founder,new,male,Europe,privatized and resources,Resource Related,Mining and metals,not inherited
Farkhad Akhmedov,1993,owner,subsidiary,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Farris Wilks,2002,founder,new,male,North America,privatized and resources,Resource Related,Energy,not inherited
Faruk Eczacibasi,1942,relation,new,male,Middle East/North Africa,inherited,New Sectors,Technology-Medical,father
Fawzi Al-Kharafi,1956,relation,new,male,Middle East/North Africa,inherited,Financial,Diversified financial,father
Fayez Sarofim,1958,relation,new,male,North America,self-made finance,Financial,Money Management,not inherited
Feng Hailiang,1989,founder,new,male,East Asia,founder non-finance,0,0,not inherited
Ferit Sahenk,1951,relation,new,male,Middle East/North Africa,inherited,Financial,Money Management,father
Fernando Roberto Moreira Salles,1926,relation,new,male,Latin America,inherited,Financial,Money Management,3rd generation
Fernando Roig,1977,relation,new,male,Europe,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Filaret Galchev,1999,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,Constrution,not inherited
Filiz Sahenk,1951,relation,new,female,Middle East/North Africa,inherited,Financial,Money Management,father
Finn Rausing,1951,relation,new,male,Europe,inherited,0,Other,3rd generation
Fiona Geminder,1948,relation,new,female,North America,inherited,Traded Sectors,Consumer,3rd generation
Florentino Perez,1983,Chairman and Chief Executive Officer,aquired,male,Europe,executive,Non-Traded Sectors,Constrution,not inherited
Folorunsho Alakija,1991,founder,new,female,Sub-Saharan Africa,privatized and resources,Resource Related,Energy,not inherited
Fong Teng,1970,relation,new,male,East Asia,inherited,Traded Sectors,Consumer,father
Forrest Mars Jr,1911,relation,new,male,North America,inherited,Traded Sectors,Consumer,3rd generation
Forrest Mars Sr,1911,relation,new,male,North America,inherited,Traded Sectors,Consumer,father
"Forrest Mars, Jr.",1911,relation,new,male,North America,inherited,Traded Sectors,Consumer,3rd generation
Frances Koshland Geballe,1853,relation,new,female,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",not inherited
Francesco Gaetano Caltagirone,1947,owner,aquired,male,Europe,executive,Non-Traded Sectors,Constrution,not inherited
Francesco Micheli,1999,chairman,new,male,Europe,self-made finance,Financial,Money Management,not inherited
Francesco Saverio Salini,1936,relation,new,male,Europe,inherited,Non-Traded Sectors,Constrution,father
Francis Choi,1972,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Francisco Ivens de Sa Dias Branco,1927,relation,new,male,Latin America,executive,Traded Sectors,Consumer,not inherited
Francisco Jose Riberas Mera,1958,relation,new,male,Europe,inherited,Resource Related,Non-consumer industrial,father
Francois Pinault,1963,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Frank Batten,1982,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
"Frank Fertitta, III.",1976,ceo,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Frank Levinson,1988,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Frank Lowy,1960,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Frank Stronach,1956,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Franklin Booth,1962,investor ,new,male,North America,self-made finance,Financial,Money Management,not inherited
Fred Chang,2001,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Fred DeLuca,1965,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Fred Lennon,1947,founder,new,male,North America,founder non-finance,Traded Sectors,Non-consumer industrial,not inherited
Frederick Field,1865,relation,new,male,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",5th generation or longer
Frederick Smith,1971,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Frederik Paulsen,1950,relation,new,male,Europe,inherited,New Sectors,Technology-Medical,father
Fredrik Lundberg,1944,relation,new,male,Europe,inherited,Financial,Real Estate,father
Freudenberg family,1849,,new,,Europe,inherited,Traded Sectors,Consumer,4th generation
Friede Springer,1946,relation,new,female,Europe,inherited,Non-Traded Sectors,Media,spouse/widow
Friedhelm Loh,1961,relation,new,male,Europe,inherited,Traded Sectors,Non-consumer industrial,father
Friedrich Flick,1919,relation,new,male,Europe,inherited,Financial,Money Management,father
Frits Goldschmeding,1960,founder,new,male,Europe,founder non-finance,0,Other,not inherited
Fritz Draexlmaier,1958,relation,new,male,Europe,inherited,Traded Sectors,Consumer,father
Fu Kwan,1990,chairman,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Fu Liquan,2001,chairman,new,male,East Asia,executive,New Sectors,Technology-Computer,not inherited
Fu Meicheng,2005,chairman,new,male,East Asia,executive,Non-Traded Sectors,Media,not inherited
Fukuzo Iwasaki,1923,relation,new,male,East Asia,inherited,Financial,Real Estate,father
Funke family,0,,,,Europe,,Non-Traded Sectors,Media,not inherited
Gabe Newell,1996,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Gabriel Escarrer,1956,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Galen Weston,1882,relation,new,male,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",3rd generation
Gao Dekang,1975,chairman,new,male,East Asia,executive,Traded Sectors,Consumer,not inherited
Garry Weston,1882,relation,new,male,Europe,inherited,Traded Sectors,Consumer,father
Gary Burrell,1989,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Gary Magness,1968,relation,new,male,North America,inherited,Non-Traded Sectors,Media,father
Gary Michelson,1949,inventor,new,male,North America,executive,New Sectors,Technology-Medical,not inherited
Gary Winnick,1997,founder,new,male,North America,self-made finance,Financial,Money Management,not inherited
Gautam Adani,1988,founder,new,male,South Asia,privatized and resources,Resource Related,Mining and metals,not inherited
Gavril Yushvaev,1992,owner,new,male,Europe,privatized and resources,Resource Related,Mining and metals,not inherited
Gayle Cook,1963,founder,new,female,North America,founder non-finance,New Sectors,Technology-Medical,not inherited
Gennady Timchenko,2000,founder,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Georg Schaeffler,1946,relation,new,male,Europe,inherited,Traded Sectors,Non-consumer industrial,father
Georg Thyssen-Bornemisza,1926,relation,new,male,Europe,inherited,Traded Sectors,Non-consumer industrial,3rd generation
Georg von Opel,1862,relation,new,male,Europe,inherited,Financial,Real Estate,4th generation
George Argyros,1969,investor,new,male,North America,self-made finance,Financial,Real Estate,not inherited
George Bishop,1981,founder,new,male,North America,privatized and resources,Resource Related,Energy,not inherited
George Joseph,1961,founder,new,male,North America,self-made finance,Financial,Money Management,not inherited
George Kaiser,1940,relation,new,male,North America,inherited,Resource Related,Energy,father
George Lindemann,1972,Chairman and Chief Executive Officer,new,male,North America,self-made finance,Financial,Diversified financial,not inherited
George Lucas,1971,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
George Mitchell,1946,founder,new,male,North America,privatized and resources,Resource Related,Energy,not inherited
George Roberts,1976,founder,new,male,North America,self-made finance,Financial,Private equity/leveraged buyout,not inherited
George Soros,1969,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
George Ty,1962,founder,new,male,East Asia,self-made finance,Financial,Money Management,not inherited
George Wong,1950,relation,new,male,East Asia,inherited,Financial,Real Estate,not inherited
George Ying Chow Lien,1949,founder,new,male,East Asia,self-made finance,Financial,Money Management,not inherited
Gerald Cadogan,1712,relation,new,male,Europe,inherited,Financial,Real Estate,5th generation or longer
Gerald Cavendish Grosvenor,1677,relation,new,male,Europe,inherited,Financial,Real Estate,5th generation or longer
Gerald J. Ford,1926,Chairman,new,male,North America,self-made finance,Financial,Money Management,not inherited
Gerald Schwartz,1983,founder,new,male,North America,self-made finance,Financial,Money Management,not inherited
Gerard Louis-Dreyfus,1851,relation,new,male,Europe,inherited,Financial,Money Management,4th generation
Gerard Mulliez,1961,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Gerard Wertheimer,1909,relation,new,male,Europe,inherited,Traded Sectors,Consumer,3rd generation
Germain Lamonde,1985,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
German Khan,1989,founder,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
German Larrea Mota Velasco,1978,founder,new,male,Latin America,privatized and resources,Resource Related,Mining and metals,not inherited
Gernot Langes-Swarovski,1895,relation,new,male,Europe,inherited,Traded Sectors,Consumer,4th generation
Gerry Harvey,1982,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Gian Marco Moratti,1962,relation,new,male,Europe,inherited,Resource Related,Energy,father
Giancarlo Franceso Civita,1950,relation,new,male,Latin America,inherited,Non-Traded Sectors,Media,3rd generation
Gianluigi Aponte,1970,founder,new,male,Europe,founder non-finance,0,Other,not inherited
Gianni Agnelli,1899,relation,new,male,Europe,inherited,Traded Sectors,Consumer,3rd generation
Gil Shwed,1993,founder,new,male,Middle East/North Africa,founder non-finance,New Sectors,Technology-Computer,not inherited
Gilberto Benetton,1965,founder,new,male,Europe,founder non-finance,Traded Sectors,Consumer,not inherited
Gilles Martin,1988,founder,new,male,Europe,founder non-finance,New Sectors,Technology-Medical,not inherited
Gina Rinehart,1955,relation,new,female,North America,inherited,Resource Related,Mining and metals,father
Giorgio Armani,1975,founder,new,male,Europe,founder non-finance,Traded Sectors,Consumer,not inherited
Giuliana Benetton,1965,founder,new,female,Europe,founder non-finance,Traded Sectors,Consumer,not inherited
Giuseppe De'Longhi,1902,relation,new,male,Europe,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Gleb Fetisov,1989,owner,new,male,Europe,executive,Non-Traded Sectors,Media,not inherited
Glen Taylor,1975,founder,aquired,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Glenn Dubin,1992,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Gloria von Thurn und Taxis,1615,relation,new,female,Europe,inherited,Financial,Money Management,5th generation or longer
God Nisanov,0,founder,,male,Europe,self-made finance,Financial,Real Estate,not inherited
Goh Cheng Liang,1962,chairman,joint venture,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Goh Peng Ooi,1989,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Gong Hongjia,2001,owner and vice chair,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Gordon Getty,1904,relation,new,male,North America,inherited,Resource Related,Energy,father
Gordon Moore,1968,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Gordon Wu,1972,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Goroemon Yoshimoto,0,,,male,East Asia,,Financial,Real Estate,not inherited
Goulandris family,0,,,,Europe,inherited,Financial,Money Management,not inherited
Graeme Hart,1987,founder,new,male,North America,self-made finance,Financial,Diversified financial,not inherited
Graham Kirkham,1983,founder,aquired,male,Europe,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Gregorio Perez Companc,1968,relation,new,male,Latin America,inherited,Resource Related,Energy,father
Gu Wei,2005,chairman,new,male,East Asia,executive,Traded Sectors,Non-consumer industrial,not inherited
Guenter Herz & Family,1949,relation,new,male,Europe,inherited,Traded Sectors,Consumer,father
Guenther Fielmann,1972,founder,new,male,Europe,founder non-finance,0,Other,not inherited
Guenther Lehmann,1973,owner,new,male,Europe,executive,Non-Traded Sectors,"Retail, Restaurant",not inherited
Guilherme Peirao Leal,1969,co-chairman,new,male,Latin America,executive,Traded Sectors,Consumer,not inherited
Gunter Herz,1949,relation,new,male,Europe,inherited,Traded Sectors,Consumer,father
Guo Guangchang,1992,founder,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Gustaf Douglas,1984,founder,new,male,Europe,founder non-finance,0,Other,not inherited
Gustavo Cisneros,1929,relation,new,male,Latin America,inherited,Non-Traded Sectors,Media,father
Guy Laliberte,1984,founder,new,male,North America,founder non-finance,0,Other,not inherited
Gwendolyn Sontheim Meyer,1865,relation,new,female,North America,inherited,Financial,Money Management,3rd generation
H Wayne Huizenga,1968,founder,new,male,North America,self-made finance,Financial,0,not inherited
H. Fisk Johnson,1886,relation,new,male,North America,inherited,Traded Sectors,Consumer,5th generation or longer
"H. Ross Perot, Jr.",1962,relation,new,male,North America,inherited,New Sectors,Technology-Computer,father
"H. Ross Perot, Sr.",1962,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
H. Wayne Huizenga,1968,founder,new,male,North America,self-made finance,Financial,Diversified financial,not inherited
Haim Saban,1988,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Hajime Satomi,1975,founder,new,male,East Asia,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Halim Saad,0,Chairman and Chief Executive Officer,,male,East Asia,privatized and resources,Financial,Diversified financial,not inherited
Hamdi Ulukaya,2005,founder,new,male,Middle East/North Africa,founder non-finance,Traded Sectors,Consumer,not inherited
Hamilton James,1985,president,new,male,North America,self-made finance,Financial,Money Management,not inherited
Han Chang-Woo,1957,"Chairman, CEO",new,male,East Asia,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Haniel family,1756,,new,,Europe,inherited,Financial,Diversified financial,not inherited
Hank & Doug Meijer,1934,relation,new,male,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",3rd generation
Hanni Toosbuy Kasprzak,1963,relation,new,female,Europe,inherited,Traded Sectors,Consumer,father
Hans Melchers,1873,relation,new,male,Europe,executive,Traded Sectors,Non-consumer industrial,not inherited
Hans Peter Wild,1931,relation,new,male,Europe,inherited,Traded Sectors,Consumer,father
Hans Rausing,1944,relation,new,male,Europe,inherited,Traded Sectors,Consumer,father
Hans and Gad Rausing,1951,relation,new,male,Europe,inherited,Traded Sectors,Consumer,father
Hans-Werner Hector,1972,founder,new,male,Europe,founder non-finance,New Sectors,Technology-Computer,not inherited
Hansjoerg Wyss,1974,founder/CEO,new division,male,Europe,founder non-finance,New Sectors,Technology-Medical,not inherited
Harindarpal Banga,1986,Vice Chairman,new,male,South Asia,privatized and resources,Resource Related,Mining and metals,not inherited
Harjo Sutanto,1950,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Harold Hamm,1967,founder,new,male,North America,privatized and resources,Resource Related,Energy,not inherited
Harold Lenfest,1974,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Harold Simmons,1974,investor ,,male,North America,self-made finance,Financial,Money Management,not inherited
Harrison McCain,1956,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Harry Brakemann Helmsley,1938,founder,aquired,male,North America,self-made finance,Financial,Real Estate,not inherited
Harry Stine,1965,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Harry Triguboff,1968,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Hary Tanoesoedibjo,1989,founder,aquired,male,East Asia,founder non-finance,Non-Traded Sectors,Media,not inherited
Hasso Plattner,1972,founder,new,male,Europe,founder non-finance,New Sectors,Technology-Computer,not inherited
He Qiaonu,1992,founder,new,female,East Asia,founder non-finance,Non-Traded Sectors,Constrution,not inherited
He Xiangjian,1968,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Heidi Horten,1936,relation,new,female,Europe,inherited,Non-Traded Sectors,"Retail, Restaurant",spouse/widow
Heinz Hermann Thiele,1905,Chairman/shareholder,new,male,Europe,executive,Traded Sectors,Consumer,not inherited
Heinz-Georg Baus,1960,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Heinz-Horst Deichmann,1913,relation,new,male,Europe,inherited,Traded Sectors,Consumer,father
Helen Johnson-Leipold,1886,relation,new,female,North America,inherited,Traded Sectors,Consumer,5th generation or longer
Helen Walton,1962,relation,new,female,North America,inherited,Traded Sectors,Consumer,spouse/widow
Helena Revoredo,1976,relation,new,female,Europe,inherited,Financial,Money Management,spouse/widow
Helmut Sohmen,1955,relation,new,male,Europe,inherited,Traded Sectors,Other,father
Heloise Waislitz,1948,relation,new,female,North America,inherited,Traded Sectors,Consumer,3rd generation
Henadiy Boholyubov,1992,owner,new,male,Europe,self-made finance,Financial,Money Management,not inherited
Henkel family,1876,,new,,Europe,inherited,Traded Sectors,Non-consumer industrial,not inherited
Henri Andre,1877,relation,new,male,Europe,inherited,Financial,Money Management,3rd generation
Henri Beaufour,1929,relation,new,male,Europe,inherited,New Sectors,Technology-Medical,3rd generation
Henry Engelhardt,1993,founder,new,male,North America,self-made finance,Financial,Money Management,not inherited
Henry Fok,1962,investor,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Henry Fong Yun Wah,1948,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Henry Hillman,1942,relation,new,male,North America,inherited,Financial,Diversified financial,father
Henry Kravis,1976,founder,new,male,North America,self-made finance,Financial,Private equity/leveraged buyout,not inherited
Henry Nicholas,1991,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
"Henry Nicholas, III.",1991,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Henry Ross Perot Sr,1962,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Henry Samueli,1991,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Henry Swieca,1992,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Henry Sy,1960,founder,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Henry Yuen,1986,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Herbert Allen,1922,relation,new,male,North America,inherited,Financial,Money Management,father
"Herbert Allen, Jr.",1922,relation,new,male,North America,inherited,Financial,Money Management,father
"Herbert Kohler, Jr.",1873,relation,new,male,North America,inherited,Traded Sectors,Non-consumer industrial,3rd generation
Herbert Louis,1886,relation,new,male,North America,inherited,Traded Sectors,Consumer,5th generation or longer
Herbert Siegel,1977,Chairman and Chief Executive Officer,new,male,North America,executive,Non-Traded Sectors,Media,not inherited
Herbert Simon,1960,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Hinduja Brothers,1914,relation,new,male,Europe,inherited,Financial,Diversified financial,father
Hiroshi Mikitani,1997,founder,new,male,East Asia,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Hiroshi Takei,0,,,male,East Asia,,Financial,Real Estate,not inherited
Hiroshi Yamauchi,1889,relation,new,male,East Asia,inherited,New Sectors,Technology-Computer,3rd generation
Hisakazu Yamaguchi,1950,relation,new,male,East Asia,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Hoang Kieu,1980,founder,new,male,North America,founder non-finance,New Sectors,Technology-Medical,not inherited
Hong Ra-Hee,1938,relation,new,female,East Asia,inherited,New Sectors,Technology-Computer,spouse/widow
Hope Hill Van Beuren,1869,relation,aquired,female,North America,inherited,Traded Sectors,Consumer,3rd generation
Horst Brandstaetter,1876,relation,new,male,Europe,inherited,Traded Sectors,Consumer,3rd generation
Horst Julius Pudwill,1985,founder,new,male,Europe,founder non-finance,Traded Sectors,Non-consumer industrial,not inherited
Horst Paulmann,1976,founder,new,male,Latin America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Howard Marks,1995,founder,new,male,North America,self-made finance,Financial,Private equity/leveraged buyout,not inherited
Howard Schultz,1971,Chairman and Chief Executive Officer,new,male,North America,executive,Traded Sectors,Consumer,not inherited
Hu Kaijun,2005,owner,new,male,East Asia,privatized and resources,New Sectors,Technology-Medical,not inherited
Huang Bingwen,1983,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Huang Li,1999,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Huang Rulun,1991,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Huang Shaowu,1998,founder,new,male,East Asia,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Huang Shi-hui,1903,relation,new,male,East Asia,inherited,Traded Sectors,Consumer,3rd generation
Huang Shih Tsai,1990,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Huang Wei,1993,president,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Huang Wen Tsai,1996,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Huang Yi,1998,founder,new,male,East Asia,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Huang Zhenda,1993,founder,new,male,East Asia,founder non-finance,Non-Traded Sectors,Constrution,not inherited
Hubert Burda,1898,relation,new,male,Europe,inherited,Non-Traded Sectors,Media,father
Hubert Palfinger,1932,relation,new,male,Europe,executive,Traded Sectors,Non-consumer industrial,not inherited
Hubert d'Ornano,1976,founder,new,male,Europe,founder non-finance,Traded Sectors,Consumer,not inherited
Hugo Mann,1938,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Hui Ka Yan,1997,chairman,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Hui Lin Chit,1985,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Hui Wing Mau,1988,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Huo Qinghua,1996,chairman,new,male,East Asia,privatized and resources,Resource Related,Mining and metals,not inherited
Husnu Ozyegin,1987,founder,new,male,Middle East/North Africa,self-made finance,Financial,Money Management,not inherited
Ian & Richard Livingstone,1987,founder,new,male,Europe,self-made finance,Financial,Real Estate,not inherited
Ian Wood,1912,relation,new,male,Europe,inherited,Resource Related,Energy,father
Idan Ofer,1950,relation,new,male,Middle East/North Africa,inherited,Resource Related,Energy,father
Igor Altushkin,1997,founder,new,male,Europe,privatized and resources,Resource Related,Mining and metals,not inherited
Igor Kesaev,1991,founder,new,male,Europe,privatized and resources,Non-Traded Sectors,"Retail, Restaurant",not inherited
Igor Makarov,1992,founder,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Igor Olenicoff,1973,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Ihor Kolomoyskyy,1992,owner,new,male,Europe,self-made finance,Financial,Money Management,not inherited
Ikuo Ogihara,1923,president,new,male,East Asia,,New Sectors,Technology-Medical,not inherited
